1,1,100,100,5,5,1,2,1,0.5,3,10,0,0,,
102,1,233,100,5,5,1,2,1,0.5,3,10,0,0,,
1,2,100,120,5,5,1,2,1,0.5,3,10,0,0,,
102,1,253,100,5,5,1,2,1,0.5,3,10,0,0,,
1,1,100,100,5,5,1,2,1,0.5,3,10,0,0,,
102,1,233,100,5,5,1,2,1,0.5,3,10,0,0,,
1,2,100,120,5,5,1,2,1,0.5,3,10,0,0,,
102,1,253,100,5,5,1,2,1,0.5,3,10,0,0,,
133.5,241,118.5,333,42.5,297,1,0,0,0,0,1,0,0,,
101.5,252,126.5,366,48.5,286,5,2,0,2,2,1,0,0,,
16,401,112,254,185,391,5,3,0,0.5,100,1,0,0,,
34,355,126,229,188,372,2,1,1,1,1,1,0,0,,
34,301,115,240,0,0,1,0,0,0,0,1,0,0,,
0.3146634,-1.713318,0.4139862,-1.740407,-0.2090388,-3.410835,0,0,0,0,0,1,0,0,,
0.8126411,3.239279,0,0,0,0,1,0,0,0,0,1,0,0,,
0.1580135,3.555305,22222,22222,0,0,0,0,0,0,0,1,0,0,,
